geoid,area,areaMedianIncome,areaMedianIncomeError,snapHouseholdIncome,snapHouseholdIncomeError,nonSnapHouseholdIncome,nonSnapHouseholdIncomeError
05000US37183,"Wake County, NC",101763,1289,36694,2263,106818,1242
06000US3718390164,"Bartons Creek township, Wake County, NC",180346,11040,,,180750,10990
06000US3718390420,"Buckhorn township, Wake County, NC",198299,38849,,,198299,38849
06000US3718390536,"Cary township, Wake County, NC",108522,4082,32107,17117,110911,5302
06000US3718390576,"Cedar Fork township, Wake County, NC",132231,7129,75461,51768,133336,7211
06000US3718391524,"Holly Springs township, Wake County, NC",128048,6615,62895,46270,131413,6963
06000US3718391548,"House Creek township, Wake County, NC",85586,3990,37824,3955,89738,4047
06000US3718391772,"Leesville township, Wake County, NC",117615,7418,45161,23468,120473,7936
06000US3718391868,"Little River township, Wake County, NC",68772,14349,36900,34565,75239,16669
06000US3718391992,"Marks Creek township, Wake County, NC",87046,5437,47021,14808,90809,6323
06000US3718392036,"Meredith township, Wake County, NC",81894,4885,46857,37929,82105,6012
06000US3718392056,"Middle Creek township, Wake County, NC",108688,6854,52680,18497,112406,5087
06000US3718392228,"Neuse township, Wake County, NC",78107,4064,40898,9580,83017,3280
06000US3718392264,"New Light township, Wake County, NC",213040,22447,180161,51734,214269,29971
06000US3718392440,"Panther Branch township, Wake County, NC",98374,9086,50441,24381,101028,13252
06000US3718392612,"Raleigh township, Wake County, NC",78767,3289,26309,5017,87496,3329
06000US3718392788,"St. Marys township, Wake County, NC",75067,4913,39242,5631,78941,5400
06000US3718392792,"St. Matthews township, Wake County, NC",82502,5505,38653,8132,85932,2600
06000US3718393200,"Swift Creek township, Wake County, NC",107953,6960,28487,19959,111350,7368
06000US3718393880,"Wake Forest township, Wake County, NC",114954,6538,39384,24458,118913,6605
06000US3718393984,"White Oak township, Wake County, NC",141515,6399,,,142742,6366
