geoid,area,totalHouseholds,error,householdReceivedSNAPInPast12Months,error,householdWithOneOrMorePersonsWithADisabilitySnap,error,householdsWithNoPersonsWithADisabilitySnap,error,householdsDidNotReceiveSNAPInPast12Months,error,householdsWithOneOrMorePersonsWithADisabilityNoSnap,error,householdsWithNoPersonsWithADisabilityNoSnap,error
06000US3718390164,"Bartons Creek township",8220,456,99,53,82,52,17,20,8121,462,1207,214,6914,469
06000US3718390420,"Buckhorn township",3897,418,0,21,0,21,0,21,3897,418,632,186,3265,466
06000US3718390536,"Cary township",33175,1063,1302,303,475,200,827,254,31873,1077,5771,641,26102,1003
06000US3718390576,"Cedar Fork township",24613,1016,587,191,251,114,336,155,24026,1010,3057,535,20969,1137
06000US3718391524,"Holly Springs township",18900,732,488,181,106,69,382,173,18412,714,2741,427,15671,776
06000US3718391548,"House Creek township",29547,1052,1640,380,533,198,1107,314,27907,1081,5286,492,22621,1063
06000US3718391772,"Leesville township",18007,826,518,194,90,70,428,164,17489,829,2880,419,14609,812
06000US3718391868,"Little River township",6462,480,506,204,202,145,304,165,5956,494,1328,331,4628,548
06000US3718391992,"Marks Creek township",10667,688,1068,329,699,250,369,184,9599,728,2405,430,7194,675
06000US3718392036,"Meredith township",10376,656,246,135,125,89,121,93,10130,652,1309,304,8821,652
06000US3718392056,"Middle Creek township",22194,985,1539,392,786,330,753,207,20655,1110,4526,571,16129,1085
06000US3718392228,"Neuse township",34062,1165,3303,624,980,366,2323,493,30759,1119,5250,651,25509,1186
06000US3718392264,"New Light township",3917,497,116,86,44,41,72,83,3801,505,666,191,3135,527
06000US3718392440,"Panther Branch township",10865,728,426,149,115,83,311,139,10439,723,2227,513,8212,645
06000US3718392612,"Raleigh township",53607,1320,4907,591,2222,370,2685,456,48700,1440,6216,554,42484,1418
06000US3718392788,"St. Marys township",26413,1147,2998,574,1511,393,1487,438,23415,1217,5418,762,17997,1171
06000US3718392792,"St. Matthews township",30993,1177,3409,738,1561,462,1848,534,27584,1310,5264,596,22320,1205
06000US3718393200,"Swift Creek township",22119,1000,1051,356,538,271,513,229,21068,1029,3310,452,17758,1033
06000US3718393880,"Wake Forest township",36698,1357,2133,593,1228,550,905,270,34565,1399,6194,813,28371,1163
06000US3718393984,"White Oak township",40904,1033,857,223,370,165,487,171,40047,1063,5685,558,34362,1106
