geoid,area,population,populationError,snapHousehold,snapHouseholdError,oneOver60,oneOver60Error,noOver60,noOver60Error,nonSnapHousehold,nonSnapHouseholdError,oneOver60,oneOver60Error,noOver60,noOver60Error
05000US37183,"Wake County, NC",445636,1867,27193,1734,9021,818,18172,1449,418443,2417,131474,1634,286969,2594
06000US3718390164,"Bartons Creek township, Wake County, NC",8220,456,99,53,54,41,45,36,8121,462,3767,283,4354,437
06000US3718390420,"Buckhorn township, Wake County, NC",3897,418,0,21,0,21,0,21,3897,418,643,196,3254,433
06000US3718390536,"Cary township, Wake County, NC",33175,1063,1302,303,506,193,796,231,31873,1077,12263,787,19610,996
06000US3718390576,"Cedar Fork township, Wake County, NC",24613,1016,587,191,236,124,351,148,24026,1010,5630,627,18396,1073
06000US3718391524,"Holly Springs township, Wake County, NC",18900,732,488,181,224,100,264,143,18412,714,5401,536,13011,647
06000US3718391548,"House Creek township, Wake County, NC",29547,1052,1640,380,255,116,1385,369,27907,1081,9762,574,18145,975
06000US3718391772,"Leesville township, Wake County, NC",18007,826,518,194,163,95,355,162,17489,829,5195,505,12294,730
06000US3718391868,"Little River township, Wake County, NC",6462,480,506,204,264,148,242,146,5956,494,2450,425,3506,374
06000US3718391992,"Marks Creek township, Wake County, NC",10667,688,1068,329,605,232,463,198,9599,728,2811,472,6788,628
06000US3718392036,"Meredith township, Wake County, NC",10376,656,246,135,51,58,195,110,10130,652,2528,373,7602,674
06000US3718392056,"Middle Creek township, Wake County, NC",22194,985,1539,392,551,198,988,317,20655,1110,7558,752,13097,799
06000US3718392228,"Neuse township, Wake County, NC",34062,1165,3303,624,574,215,2729,598,30759,1119,9613,816,21146,1072
06000US3718392264,"New Light township, Wake County, NC",3917,497,116,86,33,36,83,84,3801,505,1413,183,2388,535
06000US3718392440,"Panther Branch township, Wake County, NC",10865,728,426,149,155,83,271,120,10439,723,4121,563,6318,609
06000US3718392612,"Raleigh township, Wake County, NC",53607,1320,4907,591,1733,343,3174,507,48700,1440,12237,819,36463,1238
06000US3718392788,"St. Marys township, Wake County, NC",26413,1147,2998,574,1060,371,1938,493,23415,1217,8055,641,15360,1202
06000US3718392792,"St. Matthews township, Wake County, NC",30993,1177,3409,738,1102,293,2307,664,27584,1310,9239,768,18345,1132
06000US3718393200,"Swift Creek township, Wake County, NC",22119,1000,1051,356,483,269,568,226,21068,1029,6787,510,14281,1022
06000US3718393880,"Wake Forest township, Wake County, NC",36698,1357,2133,593,601,190,1532,575,34565,1399,11792,839,22773,1253
06000US3718393984,"White Oak township, Wake County, NC",40904,1033,857,223,371,163,486,164,40047,1063,10209,695,29838,1066
