geoid,poverty,totalHouseholds,error,householdReceivedSNAPInPast12Months,error,incomeInThePast12MonthsIsBelowPovertyLevel,error,incomeInThePast12MonthsIsAtOrAbovePovertyLevel,error,householdDidNotReceiveSNAPInPast12Months,error,incomeInThePast12MonthsIsBelowPovertyLevel2,error, incomeInThePast12MonthsIsAtOrAbovePovertyLevel2,error
05000US37183,"Wake County, NC",445636,1867,27193,1734,9665,936,17528,1399,418443,2417,25352,1398,393091,2706
06000US3718390164,"Bartons Creek township, Wake County, NC",8220,456,99,53,27,33,72,45,8121,462,193,74,7928,463
06000US3718390420,"Buckhorn township, Wake County, NC",3897,418,0,21,0,21,0,21,3897,418,241,164,3656,413
06000US3718390536,"Cary township, Wake County, NC",33175,1063,1302,303,489,224,813,221,31873,1077,1342,268,30531,1067
06000US3718390576,"Cedar Fork township, Wake County, NC",24613,1016,587,191,102,94,485,156,24026,1010,1034,262,22992,1062
06000US3718391524,"Holly Springs township, Wake County, NC",18900,732,488,181,105,92,383,169,18412,714,743,243,17669,730
06000US3718391548,"House Creek township, Wake County, NC",29547,1052,1640,380,508,177,1132,351,27907,1081,1130,256,26777,1051
06000US3718391772,"Leesville township, Wake County, NC",18007,826,518,194,143,91,375,159,17489,829,789,248,16700,846
06000US3718391868,"Little River township, Wake County, NC",6462,480,506,204,236,145,270,153,5956,494,577,278,5379,493
06000US3718391992,"Marks Creek township, Wake County, NC",10667,688,1068,329,272,159,796,296,9599,728,454,191,9145,714
06000US3718392036,"Meredith township, Wake County, NC",10376,656,246,135,32,47,214,127,10130,652,863,253,9267,702
06000US3718392056,"Middle Creek township, Wake County, NC",22194,985,1539,392,243,110,1296,376,20655,1110,1150,298,19505,1073
06000US3718392228,"Neuse township, Wake County, NC",34062,1165,3303,624,1043,360,2260,535,30759,1119,2229,573,28530,1203
06000US3718392264,"New Light township, Wake County, NC",3917,497,116,86,0,21,116,86,3801,505,110,71,3691,511
06000US3718392440,"Panther Branch township, Wake County, NC",10865,728,426,149,151,97,275,102,10439,723,350,167,10089,736
06000US3718392612,"Raleigh township, Wake County, NC",53607,1320,4907,591,2481,464,2426,410,48700,1440,5254,505,43446,1428
06000US3718392788,"St. Marys township, Wake County, NC",26413,1147,2998,574,1021,240,1977,494,23415,1217,1737,436,21678,1225
06000US3718392792,"St. Matthews township, Wake County, NC",30993,1177,3409,738,1232,484,2177,527,27584,1310,1624,353,25960,1337
06000US3718393200,"Swift Creek township, Wake County, NC",22119,1000,1051,356,476,245,575,223,21068,1029,2063,398,19005,982
06000US3718393880,"Wake Forest township, Wake County, NC",36698,1357,2133,593,907,357,1226,484,34565,1399,1326,307,33239,1436
06000US3718393984,"White Oak township, Wake County, NC",40904,1033,857,223,197,109,660,210,40047,1063,2143,520,37904,1047
